round,date,jdate,site,variety,plot,row,insect.names,no.p_s,no.chew,no.n_e,no.other,insect.rich,calc.ab,insect.ab,observers,notes
2,7/27/21,208,W,57,1,a,"6 whiteflies, 1 pirate bug, 1 leaf tier caterpillar, 1 spider, 1 black gnat, 1 leaffold caterpillar, 1 PLH nymph, 1 thrips, 1 lady beetle larva",8,2,3,1,9,14,15,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,59,1,b,"2 green cloverworm, 1 lady beetle larva, 4 black gnats, 5 PLH, 2 leaffold caterpillar, 1 click beetle",5,5,1,4,6,15,15,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,19,1,b,"2 leaffold caterpillar, 3 spider, 2 cloverworm, 3 PLH, 2 whiteflies, 1 fleahopper, 1 tarnished plant bug",7,4,3,0,7,14,14,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,57,1,b,"2 spider, 2 thrips, 1 PLH, 2 fleahopper, 2 black gnats, 2 cloverworm, 1 housefly, 2 leaffold caterpillar",5,4,2,3,8,14,14,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,59,1,a,"2 small orange nymphs, 3 black gnats, 1 bean leaf beetle, 1 green cloverworm, 1 PLH, 1 garden fleahopper",2,2,0,5,6,9,9,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,58,1,a,"1 gnat, 1 thrips, 1 spined soldier bug, 1 garden fleahopper, 1 pirate bg, 1 katydid, 1 leaffold caterpillar",2,2,2,1,7,7,7,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,58,1,b,"1 leaffold caterpillar, 1 black gnat, 1 flea beetle, 1 whitefly, 1 spider, 1 small brown grasshopper",1,3,1,1,6,6,6,"Brendan, Kelsey, Lauren",
2,7/28/21,209,C,82,1,a,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Brendan, Kelsey",
2,7/28/21,209,C,82,1,b,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Brendan, Kelsey",
2,7/28/21,209,C,59,1,a,"16 thrips, 4 orange/brown pirate bug nymph, 3 whitefly, 1 PLH, 4 fleahopper, 1 flowerfly, 4 ventral leaf miner, 5 pirate bug, 1 black gnat, 1 damsel bug, 1 poop mimic hopper",25,4,10,2,11,41,41,"Brendan, Kelsey",
2,7/28/21,209,C,57,1,a,"19 thrips, 1 PLH, 2 fleahopper, 2 lep eggs, 2 tiny pale caterpillar, 1 lightning bug, 3 pirate bug",22,2,4,0,7,28,28,"Brendan, Kelsey",
2,7/28/21,209,C,58,1,a,"4 whitefly, 3 black gnat, 5 thrips, 2 pirate bug, 1 ventral leaf blotch miner",9,1,2,3,5,15,15,"Brendan, Kelsey",
2,7/28/21,209,C,59,1,b,"8 whitefly, 2 pirate bug, 1 thrips",9,0,2,0,3,11,11,"Brendan, Kelsey",
2,7/28/21,209,C,58,1,b,"4 black gnats, 3 whitefly, 1 spider, 1 pirate bug",3,0,2,4,4,9,9,"Brendan, Kelsey",
2,7/28/21,209,C,19,1,b,"1 spider, 2 whitefly, 3 thrips",5,0,1,0,3,6,6,"Brendan, Kelsey",
2,7/28/21,209,C,57,1,b,"3 thrips, 1 flowerfly",3,0,0,1,2,4,4,"Brendan, Kelsey",
2,7/28/21,209,C,19,1,a,1 thrips,1,0,0,0,1,1,1,"Brendan, Kelsey",
3,8/16/21,228,W,19,1,a,"6 whitefly, 1 dangler caterpillar, 1 crane fly, 1 black gnat, 2 cloverworm, 1 ventral silk caterpillar, 1 fleahopper, 3 spider, 2 damselbug, 4 thrips, 1 pirate bug, 1 bigeyed bug, 1 PLH ",12,4,7,2,13,25,25,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,59,1,b,"5 green cloverworm, 6 whitefly, 7 thrips, 2 spider, 1 leaf edge roller caterpillar, 1 crane fly, 1 pirate bug, 1 spotted cucumber leaf beetle",13,7,3,1,8,24,24,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,82,1,a,"1 green stink bug, 1 fleahopper, 2 dangler caterpillar, 1 thrips, 9 whitefly, 1 PLH, 1 slender meadow katydid, 1 crane fly",13,3,0,1,8,17,17,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,82,1,b,"1 black gnat, 9 whitefly, 2 thrips, 1 dangler caterpillar, 1 spider, 1 green cloverworm, 1 PLH, 1 fleahopper",13,2,1,1,8,17,17,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,19,1,b,"2 spider, 8 whitefly, 1 thrips, 1 spotted cucumber beetle, 1 dangler caterpillar, 1 cloverworm, 1 pirate bug",9,3,3,0,6,15,15,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,58,1,b,"1 spider, 8 whitefly, 2 black gnat, 2 thrips, 1 dangler caterpillar, 1 slender meadow katydid",10,2,1,2,6,15,15,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,57,1,a,"7 whitefly, 2 leaf tip roller caterpillar, 1 grasshopper, 1 green stink bug, 3 thrips",11,3,0,0,5,14,14,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,57,1,b,"1 pirate bug, 1 thrips, 8 whitefly, 1 dangler caterpillar, 1 green cloverworm",9,2,1,0,5,12,12,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,59,1,a,"1 beetle larva, 1 fleahopper, 2 whitefly, 1 pirate bug, 2 cloverworm, 1 lacewing, 1 PLH, 1 damselfly, 1 brown stink bug",5,2,4,0,9,11,11,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,58,1,a,"1 black gnat, 2 spider, 2 whitefly, 1 PLH, 1 cloverworm, 1 pirate bug",3,1,3,1,6,8,8,"Brendan, Kelsey, Grace",
3,8/17/21,229,C,58,1,a,"7 whitefly, 1 thrips, 1 pirate bug, 1 damselbug, 17 aphids, 4 black gnat",25,0,2,4,6,31,31,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,58,1,b,"9 whitefly, 1 spider, 1 duskywing, 3 thrips, 2 black gnat, 1 green cloverworm",12,1,1,3,6,17,17,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,59,1,b,"1 stink bug, 2 cricket, 1 pirate bug, 1 spider, 7 whitefly, 4 thrips, 1 black gnat",12,0,2,3,7,17,17,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,57,1,b,"4 thrips, 1 black ant, 1 aphid, 1 leaf tip roller caterpillar, 3 whitefly, 1 spider, 2 ants, 1 garden fleahopper, 1 house fly",9,1,4,1,9,15,15,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,19,1,b,"4 thrips, 2 spiders, 1 black gnat, 1 duskywing, 4 whiteflies",8,1,2,1,5,12,12,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,82,1,b,"3 thrips, 1 aphid, 3 pirate bug, 1 whitefly, 1 leaf tip fold caterpillar, 1 spider",5,1,4,0,6,10,10,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,57,1,a,"2 tarnished plant bug, 1 beetle larva, 1 whitefly, 1 stilt bug, 1 bumblebee, 1 grasshopper, 1 fleahopper",4,1,2,1,7,8,8,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,59,1,a,"1 ladybeetle, 3 black gnat, 3 thrips",3,0,1,3,3,7,7,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,82,1,a,"2 tarnished plant bug, 2 fleahopper, 1 spider, 1 ladybeetle, 1 black gnat",4,0,2,1,5,7,7,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,19,1,a,"1 duskywing, 1 thrips, 1 slug",1,2,0,0,3,3,3,"Kennedy, Kelsey, Brendan, Sarah",
4,9/22/21,265,W,58,1,b,"67 aphid, 1 lightning bug, 1 whitefly, 2 stilt bug",68,0,3,0,4,71,71,"Kelsey, Brendan ",
4,9/22/21,265,W,57,1,b,"5 green stink bug nymph, 17 aphid, 2 duskywing, 1 spider",22,2,1,0,4,25,25,"Kelsey, Brendan ",
4,9/22/21,265,W,19,1,a,"1 adult moth, 20 aphids, 1 green stink bug nymph",21,0,0,1,3,22,22,"Kelsey, Brendan ",
4,9/22/21,265,W,57,1,a,"3 whitefly, 2 spider, 1 green stink bug nymph, 15 aphid",19,0,2,0,4,21,21,"Kelsey, Brendan ",
4,9/22/21,265,W,19,1,b,"2 green stink bug nymph, 7 aphid, 1 garden fleahopper, 2 whitefly, 1 brown assassin bug",12,0,1,0,5,13,13,"Kelsey, Brendan ",
4,9/22/21,265,W,59,1,b,"8 green stink bug nymph, 1 whitefly, 1 spider, 1 garden fleahopper, 1 brown assassin bug, 1 green cloverworm",10,1,2,0,6,13,13,"Kelsey, Brendan ",
4,9/22/21,265,W,58,1,a,"1 green stink bug nymph, 1 stilt bug, 5 aphid, 2 whitefly, 1 grasshopper, 1 spider",8,1,2,0,6,11,11,"Kelsey, Brendan ",
4,9/22/21,265,W,82,1,b,"1 green stinkbug, 1 spider, 3 aphid, 1 housefly, 3 green stink bug nymph",7,0,1,1,5,9,9,"Kelsey, Brendan ",
4,9/22/21,265,W,59,1,a,"1 garden fleahopper, 4 green stink bug nymph, 1 whitefly, 1 tricorner leafhopper, 1 duskywing",7,1,0,0,5,8,8,"Kelsey, Brendan ",
4,9/22/21,265,W,82,1,a,"1 grasshopper, 2 green stink bug nymph",2,1,0,0,2,3,3,"Kelsey, Brendan ",
4,9/28/21,271,C,58,1,b,"1 brown caterpillar, 1 thrips, 35 aphid, 1 tricorner leafhopper, 2 spider, 1 grasshopper",37,2,2,0,6,41,41,Kelsey,
4,9/28/21,271,C,19,1,a,"2 duskywing, 1 thrips, 20 aphid, 1 garden fleahopper, 1 spider",22,2,1,0,5,25,25,Kelsey,
4,9/28/21,271,C,82,1,a,"1 damselbug, 4 whitefly, 1 PLH, 1 spotted plant bug, 1 grasshopper, 1 garden fleahopper, 5 aphid",11,1,1,0,7,13,13,Kelsey,
4,9/28/21,271,C,57,1,a,"2 whitefly, 5 aphid, 1 spider",7,0,1,0,3,8,8,Kelsey,
4,9/28/21,271,C,57,1,b,"1 lady beetle, 1 damselbug, 5 aphid, 1 whitefly",6,0,2,0,4,8,8,Kelsey,
4,9/28/21,271,C,82,1,b,"1 leaffold caterpillar, 1 damselbug, 1 thrips, 5 aphid",6,1,1,0,4,8,8,Kelsey,
4,9/28/21,271,C,59,1,a,"1 salt marsh caterpillar, 1 spider, 1 spotted cucumber beetle, 2 damselbug",0,2,3,0,4,5,5,Kelsey,
4,9/28/21,271,C,19,1,b,4 whitefly,4,0,0,0,1,4,4,Kelsey,
4,9/28/21,271,C,58,1,a,"1 spider, 1 duskywing, 1 thrips, 1 damselbug",1,1,2,0,4,4,4,Kelsey,
4,9/28/21,271,C,59,1,b,"1 whitefly, 1 cloverworm",1,1,0,0,2,2,2,Kelsey,
1,7/6/21,187,W,59,2,a,"6 thrips, 5 pirate bug, 1 white fly, 3 PLH, 1 striped blackhead caterpillar, 1 spider",10,1,6,0,6,17,17,"Brendan, Kelsey",
1,7/6/21,187,W,58,2,b,"1 PLH, 2 black gnat, 1 garden fleahopper, 5 thrips, 1 brown ground beetle, 3 beige leafhopper",10,0,1,2,6,13,13,"Brendan, Kelsey",
1,7/6/21,187,W,57,2,a,"1 pirate bug, 1 beige leafhopper, 1 longneck beetle, 1 leaf fold caterpillar, 1 ladybeetle, 3 spiders",1,1,6,0,6,8,8,"Brendan, Kelsey",
1,7/6/21,187,W,58,2,a,"5 thrips, 2 garden fleahopper, 1 pirate bug",7,0,1,0,3,8,8,"Brendan, Kelsey",
1,7/6/21,187,W,19,2,b,"1 thrips, 2 beige leafhopper, 1 pirate bug, 1 brown ground beetle, 1 PLH, 1 big eyed bug",4,0,3,0,6,7,7,"Brendan, Kelsey",
1,7/6/21,187,W,57,2,b,"2 thrips, 3 spider, 1 fleahopper, 1 stinkbug nymph",4,0,3,0,4,7,7,"Brendan, Kelsey",
1,7/6/21,187,W,82,2,b,"2 spider, 2 thrips, 1 whitefly, 1 stinkbug",4,0,2,0,4,6,6,"Brendan, Kelsey",
1,7/6/21,187,W,59,2,b,"2 thrips, 1 pirate bug, 1 leaffold caterpillar, 1 tricorner leafhopper",3,1,1,0,4,5,5,"Brendan, Kelsey",
1,7/6/21,187,W,19,2,a,"1 damselbug, 1 beige leafhopper, 1 soldier beetle, 1 PLH",2,0,2,0,4,4,4,"Brendan, Kelsey",
1,7/6/21,187,W,82,2,a,1 thrips ,1,0,0,0,1,1,1,"Brendan, Kelsey",
1,7/8/21,189,C,82,2,b,"24 slugs, 4 millipedes, 1 centipede",0,24,1,4,3,29,29,"Brendan, Kelsey",
1,7/8/21,189,C,59,2,b,"15 slugs, 1 mealworm",0,15,0,1,2,16,16,"Brendan, Kelsey",
1,7/8/21,189,C,58,2,a,"13 thrips, 1 pirate bug",13,0,1,0,2,14,14,"Brendan, Kelsey",
1,7/8/21,189,C,19,2,a,10 thrips,10,0,0,0,2,10,10,"Brendan, Kelsey",
1,7/8/21,189,C,58,2,b,"6 thrips, 4 black gnat, 2 bird feathers",6,0,0,4,3,10,10,"Brendan, Kelsey",
1,7/8/21,189,C,57,2,a,"2 pirate bug, 4 thrips, 1 whitefly",5,0,2,0,3,7,7,"Brendan, Kelsey",
1,7/8/21,189,C,57,2,b,"2 millipede, 2 spiders, 2 thrips",2,0,2,2,3,6,6,"Brendan, Kelsey",
1,7/8/21,189,C,19,2,b,"2 spider, 1 slug",0,1,2,0,3,3,3,"Brendan, Kelsey",
1,7/8/21,189,C,59,2,a,1 thrips,1,0,0,0,1,1,1,"Brendan, Kelsey",
1,7/8/21,189,C,82,2,a,none,0,0,0,0,0,0,0,"Brendan, Kelsey",
2,7/27/21,208,W,82,2,a,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,82,2,b,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,59,2,a,"2 thrips, 3 cloverworm, 1 picture wing fly, 1 dectes beetle, 2 katydid, 1 duskywing, 1 fleahopper, 2 black gnat",4,6,0,3,8,13,13,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,59,2,b,"1 leaffold caterpillar, 2 whitefly, 1 pirate bug, 5 thrips, 1 bean leaf beetle, 1 PLH, 1 katydid",8,3,1,0,7,12,12,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,58,2,b,"5 thrips, 2 whiteflies, 1 katydid",7,1,0,0,3,8,8,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,19,2,a,"1 lady beetle larva, 2 fleahopper, 1 katydid, 1 bean leaf beetle, 1 click beetle, 1 thrips",3,3,1,0,6,7,7,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,19,2,b,"1 spider, 1 fleahopper, 2 leaffold caterpillar, 1 black gnat, 1 PLH, 1 katydid",2,3,1,1,6,7,7,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,57,2,b,"3 spiders, 3 beige grasshoppers",5,0,0,1,2,6,6,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,58,2,a,"4 thrips, 1 black gnat, 1 garden fleahopper",5,0,0,1,3,6,6,"Brendan, Kelsey, Lauren",
2,7/27/21,208,W,57,2,a,"2 katydid, 1 leaffold caterpillar",0,3,0,0,2,3,3,"Brendan, Kelsey, Lauren",
2,7/28/21,209,C,59,2,b,NA,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Brendan, Kelsey",
2,7/28/21,209,C,82,2,a,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Brendan, Kelsey",
2,7/28/21,209,C,82,2,b,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Brendan, Kelsey",
2,7/28/21,209,C,19,2,a,"1 black gnat, 2 whitefly, 6 pirate bug, 7 thrips, 2 big green aphid, 2 spider, 1 lep egg, 50 ants, 1 fleahopper",12,0,58,1,9,71,71,"Brendan, Kelsey",
2,7/28/21,209,C,59,2,a,"1 fleahopper, 1 longleg fly, 2 pirate bug nymph, 1 PLH, 6 whitefly, 3 pirate bug, 17 thrips, 1 black gnat, 1 black aphid, 1 armyworm",26,1,6,1,10,34,34,"Brendan, Kelsey",
2,7/28/21,209,C,58,2,a,"15 thrips, 1 black gnat, 7 pirate bug, 6 pirate bug nymphs, 3 whitefly",18,0,13,1,5,32,32,"Brendan, Kelsey",
2,7/28/21,209,C,57,2,a,"1 big wasp, 2 whitefly, 2 black gnat, 1 leaffold caterpillar, 3 pirate bug, 17 thrips, 3 orange pirate bug nymph, 1 fleahopper, 1 tiny pale caterpillar, 6 eggs",20,2,7,2,10,31,31,"Brendan, Kelsey",
2,7/28/21,209,C,58,2,b,"18 thrips, 3 whitefly, 3 pirate bug, 3 black gnat",21,0,3,3,4,27,27,"Brendan, Kelsey",
2,7/28/21,209,C,57,2,b,"1 pirate bug, 2 thrips, 1 black gnat, 3 whitefly, 1 orange pirate bug nymph",5,0,2,1,5,8,8,"Brendan, Kelsey",
2,7/28/21,209,C,19,2,b,"2 whitefly, 3 thrips",5,0,0,0,2,5,5,"Brendan, Kelsey",
3,8/16/21,228,W,82,2,a,"17 whitefly, 5 thrips, 1 black gnat, 1 cricket, 1 duskywing, 1 garden fleahopper, 2 spider, 1 cloverworm, 1 green stink bug",24,2,2,2,9,30,30,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,82,2,b,"1 spotted cucumber leaf beetle, 2 cloverworm, 1 PLH, 8 whitefly, 1 flea beetle, 1 slender meadow katydid, 1 assassin bug, 4 thrips, 1 dectes beetle, 1 leaf edge caterpillar",13,6,1,1,10,21,21,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,59,2,a,"8 whitefly, 1 fleahopper, 2 thrips, 1 spider, 1 black gnat, 2 grasshopper, 1 spotted cucumber leaf beetle, 1 stink bug, 1 cloverworm",12,4,1,1,9,18,18,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,19,2,a,"1 whitefly, 12 thrips, 2 cloverworm, 1 cricket",13,2,0,1,4,16,16,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,57,2,a,"9 thrips, 2 spider, 1 dangler caterpillar, 1 whitefly, 1 spotted cucumber leaf beetle",10,2,2,0,5,14,14,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,58,2,a,"5 whitefly, 1 black gnat, 3 thrips, 2 PLH, 1 grasshopper, 2 aphid",12,1,0,1,6,14,14,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,19,2,b,"7 thrips, 2 flea beetle, 3 whitefly, 1 pirate bug",10,2,1,0,4,13,13,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,58,2,b,"3 grasshopper, 4 spider, 2 thrips, 1 spider, 1 black gnat, 1 stink bug, 1 flea beetle",3,4,5,1,7,13,13,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,59,2,b,"2 leafhopper, 4 whitefly, 2 spider, 1 dangler caterpillar, 1 leaf edge roller caterpillar, 1 cloverworm, 1 thrips",7,3,2,0,7,12,12,"Brendan, Kelsey, Grace",
3,8/16/21,228,W,57,2,b,"3 spotted cucumber beetle, 3 thrips, 1 lady beetle larva, 1 fleahopper, 1 stinkbug, 1 spider",5,3,2,0,6,10,10,"Brendan, Kelsey, Grace",
3,8/17/21,229,C,58,2,b,"9 whitefly, 1 spider, 1 pirate bug, 2 duskywing, 1 ladybeetle, 1 bean leaf beetle, 3 pirate bug, 64 early instar white tussock",9,67,6,0,8,82,82,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,59,2,a,"1 garden flea hopper, 1 black gnat, 9 whitefly, 5 thrips, 1 ant, 3 pirate bug",15,0,4,1,6,20,20,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,58,2,a,"3 duskywing, 3 whitefly, 1 ant, 1 aphid, 2 pirate bug, 3 thrips, 1 cloverworm, 2 black gnat, 1 beetle larva, 1 sweat bee",7,4,4,3,10,18,18,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,57,2,a,"4 whitefly, 3 green cloverworm, 1 bean leaf beetle, 1 damselbug, 1 PLH, 1 pirate bug, 1 spider, 1 ant, 1 leaf roller caterpillar, 2 duskywing",5,7,4,0,10,16,16,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,19,2,a,"2 spider, 4 pirate bug, 1 whitefly, 3 thrips, 1 duskywing, 1 black gnat, 1 leafhopper, 1 assassin bug",5,1,7,1,8,14,14,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,57,2,b,"1 damselbug, 1 whitefly, 1 PLH, 1 pirate bug, 2 black gnat, 1 thrips, 2 cloverworm",3,2,2,2,7,9,9,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,19,2,b,"1 damselbug, 1 black gnat, 2 aphid, 1 garden fleahopper, 2 pirate bug",3,0,3,1,5,7,7,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,82,2,b,"5 whitefly, 1 pirate bug, 1 thrips",6,0,1,0,3,7,7,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,82,2,a,"1 garden fleahopper, 1 whitefly, 1 cloverworm, 1 pirate bug, 1 duskywing, ",2,2,1,0,5,5,5,"Kennedy, Kelsey, Brendan, Sarah",
3,8/17/21,229,C,59,2,b,"2 whitefly, 2 thrips",4,0,0,0,2,4,4,"Kennedy, Kelsey, Brendan, Sarah",
4,9/22/21,265,W,57,2,b,"1 whitefly, 1 PLH, 4 thrips, 1 blackhead leaf gluer caterpillar, 119 aphid",125,1,0,0,5,126,126,"Kelsey, Brendan ",
4,9/22/21,265,W,58,2,a,"55 aphid, 1 beetle larva, 1 thrips, 1 bean leaf beetle",56,1,1,0,4,58,58,"Kelsey, Brendan ",
4,9/22/21,265,W,19,2,b,"47 aphid, 1 black gnat, 1 leaf tip fold caterpillar, 2 spider, 2 thrips, 1 whitefly",50,1,2,1,6,54,54,"Kelsey, Brendan ",
4,9/22/21,265,W,82,2,a,"37 green stink bug nymph, 1 brown assassin bug, 1 whitefly, 1 stilt bug, 1 tree cricket, 1 bean leaf beetle",38,1,2,1,6,42,42,"Kelsey, Brendan ",
4,9/22/21,265,W,58,2,b,"2 katydid, 1 whitefly, 1 thrip, 1 grass fly, 29 aphid",31,2,0,0,5,33,33,"Kelsey, Brendan ",
4,9/22/21,265,W,59,2,b,"16 aphid, 2 green stink bug nymph, 1 whitefly, 1 housefly",19,0,0,1,4,20,20,"Kelsey, Brendan ",
4,9/22/21,265,W,82,2,b,"1 thrips, 10 aphid, 3 green stink bug nymph, 1 whitefly, 1 firefly",15,0,1,0,5,16,16,"Kelsey, Brendan ",
4,9/22/21,265,W,57,2,a,"10 aphid, 1 spider, 1 picturewing fly",11,0,1,0,3,12,12,"Kelsey, Brendan ",
4,9/22/21,265,W,19,2,a,"5 aphid, 1 little lightning bug, 1 garden fleahopper, 2 spider, 1 katydid",6,1,3,0,5,10,10,"Kelsey, Brendan ",
4,9/22/21,265,W,59,2,a,"3 green stink bug nymph, 1 spider, 1 whitefly, 1 duskywing, 1 green cloverworm, 1 brown stink bug",5,2,1,0,6,8,8,"Kelsey, Brendan ",
4,9/28/21,271,C,59,2,b,none,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Kelsey,outside row
4,9/28/21,271,C,82,2,a,"520 aphid, 1 pirate bug, 2 thrips, 2 ants, 1 spider",522,0,4,0,5,526,526,Kelsey,
4,9/28/21,271,C,19,2,a,"4 spider, 1 black gnat, 50 aphid, 2 salt marsh caterpillar, 1 bean leaf beetle, 2 lightning bug, 1 big eyed bug",50,3,7,1,7,61,61,Kelsey,
4,9/28/21,271,C,59,2,a,"25 aphid, 2 whitefly, 1 spider, 1 flowerfly, 1 leaffold caterpillar",27,1,1,1,5,30,30,Kelsey,
4,9/28/21,271,C,19,2,b,"20 aphid, 3 thrips",23,0,0,0,2,23,23,Kelsey,
4,9/28/21,271,C,58,2,b,"3 spider, 1 cutworm, 5 aphid, 1 soybean looper",5,2,3,0,4,10,10,Kelsey,
4,9/28/21,271,C,57,2,b,"1 damselbug, 1 leaffold caterpillar, 2 lady beetle, 3 beetle larvae",0,1,6,0,4,7,7,Kelsey,
